Case	Delta	Turn	Full_SEM_s	Inc_SEM_s	Speedup	DeltaRuleApps	GraphEdges	DeltaEdgeRatio
P18	inc0p1	ins	0.396444	0.078139	5.074	5321	42197	0.126099
P18	inc0p3	del	0.317769	0.112652	2.821	15504	26693	0.580826
P18	inc0p3	ins	0.379968	0.123031	3.088	15504	42197	0.367419
P18	inc0p5	del	0.272955	0.127900	2.134	20508	21689	0.945548
P18	inc0p5	ins	0.392006	0.131476	2.982	20508	42197	0.486006
P19	inc0p1	del	0.458766	0.140386	3.268	9357	43923	0.213032
P19	inc0p1	ins	0.567848	0.162099	3.503	9357	53280	0.175619
P19	inc0p3	del	0.394764	0.162682	2.427	21022	32258	0.651683
P19	inc0p3	ins	0.507724	0.178437	2.845	21022	53280	0.394557
P19	inc0p5	del	0.362572	0.205365	1.766	26094	27186	0.959832
P19	inc0p5	ins	0.527415	0.177267	2.975	26094	53280	0.489752
P20	inc0p1	del	0.445935	0.084684	5.266	842	43488	0.019362
P20	inc0p1	ins	0.522146	0.064647	8.077	842	44330	0.018994
P20	inc0p3	del	0.471718	0.073470	6.421	2437	41893	0.058172
P20	inc0p3	ins	0.457180	0.070169	6.515	2437	44330	0.054974
P20	inc0p5	del	0.391553	0.075693	5.173	4486	39844	0.112589
P20	inc0p5	ins	0.464711	0.081904	5.674	4486	44330	0.101196
